Movie Title,tmdb_popularity,imdbRating,Unnamed: 3,mean_google_trend_popularity,director_popularity,producer_popularity,actors_popularity,TwitterScore,Budget,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,Revenue-Worldwide,Profit,Verdict
T-34,20.027,6.8,,,0.6,,7.4194,,8000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36220872,3.527609,hit
The Witch: Part 1 - The Subversion,19.148,7.2,,,,,12.3168,-61.9047619,5500000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24340302,3.425509455,hit
1987: When the Day Comes,24.757,7.8,,25.625,3.758,,15.965,71.42857143,12308000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53834292,3.373926877,hit
Dark Figure of Crime,10.9,6.7,,35.5,3.842,1.148,5.8196,-68.57142857,7120949.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29433930,3.133428002,hit
Housefull 2,8.848,5.4,,62.625,,,3.741,61.57894737,6071922.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25097277,3.133333235,hit
Heidi,16.444,7.4,,91.75,1.949,1.476,3.31,53.52286774,8800000.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35755670,3.063144318,hit
The Women on the 6th Floor,7.874,7.1,,,2.115,0.6,5.329,,7000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27533970,2.933424286,hit
The White Haired Witch of Lunar Kingdom,9.172,5.3,,30.875,,4.649,10.08,-81.81818182,16000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62515046,2.907190375,hit
Alibi.com,11.355,6.5,,41.25,10.695,1.6765,6.2362,51.55279503,7546570.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29370592,2.89191275,hit
Padre no hay más que uno 2: La llegada de la suegra,14.045,5.6,,,5.217,,3.6352,,4000000.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15373181,2.84329525,hit
Legend of the Demon Cat,9.062,6.2,,21.125,6.497,0.6,9.7784,46.66666667,26147360.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97051623,2.711717856,hit
Chinese Zodiac,52.582,6.0,,,39.287,,10.8516,,48000000.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171339013,2.569562771,hit
Agneepath,7.668,7.6,,28.875,1.052,2.353,3.2892,48.25,7600000.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26001696,2.421275789,hit
The Last Warrior: Root of Evil,552.573,6.0,,12.5,,,5.9458,-100.0,8400000.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28357398,2.375880714,hit
Rien à déclarer,8.036,6.4,,,,,3.4218,,28000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93811164,2.350398714,hit
"Tad, the Lost Explorer, and the Secret of King Midas",39.983,6.2,,,,1.49475,4.3482,,10778400.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35704046,2.312555296,hit
Start-Up,8.593,6.4,,69.25,,,9.1406,70.77997672,7300000.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24106579,2.302271096,hit
Flight Crew,26.752,6.6,,44.0,1.153,4.260666667,10.5828,33.83113153,9000000.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29171110,2.241234444,hit
Blind Detective,6.645,6.4,,40.75,7.825,4.2125,7.4554,-37.93103448,11000000.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34958596,2.178054182,hit
The Fatal Encounter,4.683,6.8,,38.0,0.6,1.4,6.8436,-98.96,9600000.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29060186,2.027102708,hit
The Suspect,4.964,7.4,,72.375,0.6,0.6,4.6218,-47.35112936,9500000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28674130,2.018329474,hit
Firestorm,8.653,4.7,,75.875,1.646,,7.2702,5.277401894,19000000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55754766,1.934461368,hit
